n,m,graphs,spearman_C_vs_taus,spearman_C_vs_wiener,spearman_C_vs_n_branch,spearman_C_vs_n_leaves
7,7,29,-0.364,-0.613,0.423,0.881
7,8,56,-0.486,-0.268,0.129,0.816
7,9,79,-0.636,0.054,-0.177,0.751
7,10,79,-0.709,0.336,-0.441,0.716
7,11,59,-0.799,0.57,-0.635,0.706
7,12,31,-0.823,0.572,-0.855,0.515
8,8,73,-0.296,-0.629,0.36,0.872
8,9,182,-0.446,-0.34,0.121,0.819
8,10,326,-0.571,-0.098,-0.092,0.786
8,11,430,-0.645,0.137,-0.303,0.76
8,12,427,-0.722,0.312,-0.522,0.731
8,13,298,-0.734,0.417,-0.676,0.685
8,14,134,-0.671,0.425,-0.87,0.459
8,15,35,-0.392,0.551,-0.759,
9,8,35,,-0.752,0.5,0.917
9,9,185,-0.257,-0.62,0.355,0.885
9,10,573,-0.399,-0.395,0.172,0.845
9,11,1278,-0.51,-0.185,-0.013,0.818
9,12,2161,-0.595,0.004,-0.207,0.792
9,13,2768,-0.669,0.162,-0.395,0.764
9,14,2616,-0.71,0.266,-0.564,0.733
9,15,1714,-0.7,0.304,-0.706,0.659
9,16,707,-0.6,0.274,-0.878,0.422
9,17,154,-0.314,0.133,-0.744,
