set,n_graphs,pool,n_resolving_singles,resolving_singles,n_resolving_pairs,min_pair_example,n_resolving_triples,min_triple_example,backward_minimal_size,backward_minimal,greedy_size,greedy
chem_n8,2391,DECK,5,deck:adj_charpoly;deck:adj_spec;deck:lap_charpoly;deck:lap_spec;deck:q_spec,,,0,,1,deck:lap_charpoly,1,deck:lap_spec
chem_n8,2391,GRAPH,0,,11,graph:adj_charpoly;graph:lap_charpoly,0,,2,graph:lap_charpoly;graph:spectral_radius,2,graph:adj_spec;graph:q_spec
chem_n8,2391,MIXED,5,deck:adj_charpoly;deck:adj_spec;deck:lap_charpoly;deck:lap_spec;deck:q_spec,,,0,,2,graph:lap_charpoly;graph:spectral_radius,1,deck:q_spec
chemp_n8,2088,DECK,5,deck:adj_charpoly;deck:adj_spec;deck:lap_charpoly;deck:lap_spec;deck:q_spec,,,0,,1,deck:lap_charpoly,1,deck:lap_spec
chemp_n8,2088,GRAPH,0,,11,graph:adj_charpoly;graph:lap_charpoly,0,,2,graph:lap_charpoly;graph:spectral_radius,2,graph:adj_spec;graph:q_spec
chemp_n8,2088,MIXED,5,deck:adj_charpoly;deck:adj_spec;deck:lap_charpoly;deck:lap_spec;deck:q_spec,,,0,,2,graph:lap_charpoly;graph:spectral_radius,1,deck:q_spec
chem_n9,14598,DECK,5,deck:adj_charpoly;deck:adj_spec;deck:lap_charpoly;deck:lap_spec;deck:q_spec,,,0,,1,deck:lap_charpoly,1,deck:lap_spec
chem_n9,14598,GRAPH,0,,3,graph:adj_charpoly;graph:q_spec,0,,2,graph:q_spec;graph:energy,2,graph:q_spec;graph:energy
chem_n9,14598,MIXED,5,deck:adj_charpoly;deck:adj_spec;deck:lap_charpoly;deck:lap_spec;deck:q_spec,,,0,,2,graph:q_spec;graph:energy,1,deck:q_spec
chemp_n9,11704,DECK,5,deck:adj_charpoly;deck:adj_spec;deck:lap_charpoly;deck:lap_spec;deck:q_spec,,,0,,1,deck:lap_charpoly,1,deck:lap_spec
chemp_n9,11704,GRAPH,0,,3,graph:adj_charpoly;graph:q_spec,0,,2,graph:q_spec;graph:energy,2,graph:q_spec;graph:energy
chemp_n9,11704,MIXED,5,deck:adj_charpoly;deck:adj_spec;deck:lap_charpoly;deck:lap_spec;deck:q_spec,,,0,,2,graph:q_spec;graph:energy,1,deck:q_spec
conn_n8,12113,DECK,5,deck:adj_charpoly;deck:adj_spec;deck:lap_charpoly;deck:lap_spec;deck:q_spec,,,0,,1,deck:lap_charpoly,1,deck:lap_spec
conn_n8,12113,GRAPH,0,,9,graph:adj_charpoly;graph:lap_charpoly,0,,3,graph:lap_charpoly;graph:spectral_radius;graph:wiener,2,graph:q_spec;graph:energy
conn_n8,12113,MIXED,5,deck:adj_charpoly;deck:adj_spec;deck:lap_charpoly;deck:lap_spec;deck:q_spec,,,0,,3,graph:lap_charpoly;graph:spectral_radius;graph:wiener,1,deck:q_spec
all_n8,13598,DECK,0,,0,,0,,,,48,deck:lap_spec;deck:girth;deck:energy;deck:bipartite;deck:sombor_inv;deck:tri;deck:diam;deck:n_perfect_match;deck:n_leaves;deck:randic;deck:biconnected;deck:max_match;deck:spectral_radius;deck:deg_seq;deck:q_spec;deck:edge_types;deck:sombor_red;deck:n_comp;deck:abc;deck:ga;deck:n;deck:taus;deck:clique;deck:adj_charpoly;deck:chrom;deck:n_bridges;deck:dist_dist;deck:sombor;deck:comp_sizes;deck:m1;deck:n_cut;deck:az;deck:m;deck:sombor_sq;deck:adj_spec;deck:min_deg;deck:harmonic;deck:lap_charpoly;deck:indep;deck:wiener;deck:forgotten;deck:forest;deck:ecc_seq;deck:max_deg;deck:isi;deck:m2;deck:match_poly;deck:sum_conn
all_n8,13598,GRAPH,0,,7,graph:adj_charpoly;graph:lap_charpoly,0,,3,graph:lap_charpoly;graph:spectral_radius;graph:wiener,2,graph:q_spec;graph:energy
all_n8,13598,MIXED,0,,82,deck:abc;graph:lap_charpoly,0,,3,graph:lap_charpoly;graph:spectral_radius;graph:wiener,2,deck:adj_charpoly;graph:indep
