n,m,graphs,C_min,C_min_graph,C_min_degseq,C_max,C_max_graph,C_max_degseq,argmax_has_max_M1,C_min_is_regular,C_max_maxdeg
4,2,2,0.0,CQ,"1,1,1,1",1.64370883,CE,"2,1,1,0",1,True,2
4,3,3,2.828427125,CU,"2,2,1,1",5.557258096,CF,"3,1,1,1",0,False,3
4,4,2,4.738873178,C],"2,2,2,2",7.032181493,CV,"3,2,2,1",1,True,3
5,2,2,0.0,DCO,"1,1,1,1,0",1.64370883,D?o,"2,1,1,0,0",1,False,2
5,3,4,1.64370883,DCW,"2,1,1,1,1",5.557258096,D?w,"3,1,1,1,0",0,False,3
5,4,6,3.554154883,DQg,"2,2,2,1,1",11.529935585,D?{,"4,1,1,1,1",1,False,4
5,5,6,5.923591472,DUW,"2,2,2,2,2",12.847254823,DC{,"4,2,2,1,1",0,True,4
5,6,6,11.723163608,DUw,"3,3,2,2,2",16.102902494,DE{,"4,3,2,2,1",0,False,4
5,7,4,16.736832067,DVw,"3,3,3,3,2",21.633831705,DF{,"4,4,2,2,2",0,False,4
5,8,2,23.504654701,D]{,"4,3,3,3,3",25.698275994,DV{,"4,4,3,3,2",1,False,4
6,2,2,0.0,E?`?,"1,1,1,1,0,0",1.64370883,E?B?,"2,1,1,0,0,0",1,False,2
6,3,5,0.0,ECO_,"1,1,1,1,1,1",5.557258096,E?B_,"3,1,1,1,0,0",0,True,3
6,4,9,2.828427125,ECQ_,"2,2,1,1,1,1",11.529935585,E?Bo,"4,1,1,1,1,0",1,False,4
6,5,15,4.738873178,ECX_,"2,2,2,2,1,1",19.51827776,E?Bw,"5,1,1,1,1,1",1,False,5
6,6,21,7.108309767,EEh_,"2,2,2,2,2,2",20.772206354,E?bw,"5,2,2,1,1,1",0,True,5
6,7,24,12.907881903,EEj_,"3,3,2,2,2,2",23.894258096,E?rw,"5,3,2,2,1,1",0,False,5
6,8,24,17.921550361,EQyo,"3,3,3,3,2,2",29.266387742,E?zw,"5,4,2,2,2,1",0,False,5
6,9,21,22.93521882,EFz_,"3,3,3,3,3,3",36.849634212,E?~w,"5,5,2,2,2,2",0,True,5
6,10,15,31.553034609,EFzo,"4,4,3,3,3,3",40.50647607,EC~w,"5,5,3,3,2,2",0,False,5
6,11,9,39.506334743,EVzo,"4,4,4,4,3,3",46.356796452,ETnw,"5,4,4,4,4,1",1,False,5
6,12,5,47.293505963,E]~o,"4,4,4,4,4,4",53.96908158,EF~w,"5,5,5,3,3,3",0,True,5
6,13,2,58.720826419,E]~w,"5,5,4,4,4,4",60.827498425,EV~w,"5,5,5,4,4,3",1,False,5
7,2,2,0.0,F?AA?,"1,1,1,1,0,0,0",1.64370883,F??E?,"2,1,1,0,0,0,0",1,False,2
7,3,5,0.0,F?`@?,"1,1,1,1,1,1,0",5.557258096,F??F?,"3,1,1,1,0,0,0",0,False,3
7,4,10,1.64370883,F?`@_,"2,1,1,1,1,1,1",11.529935585,F??F_,"4,1,1,1,1,0,0",1,False,4
7,5,21,3.554154883,FCOc_,"2,2,2,1,1,1,1",19.51827776,F??Fo,"5,1,1,1,1,1,0",1,False,5
7,6,41,5.923591472,FCQ`_,"2,2,2,2,2,1,1",29.512290501,F??Fw,"6,1,1,1,1,1,1",1,False,6
7,7,65,8.293028061,FCdb?,"2,2,2,2,2,2,2",30.737069341,F?AFw,"6,2,2,1,1,1,1",1,True,6
7,8,97,14.092600197,FCdf?,"3,3,2,2,2,2,2",33.782237209,F?BFw,"6,3,2,2,1,1,1",1,False,6
7,9,131,18.844300763,FQhTO,"3,3,3,3,2,2,2",39.048606762,F?Bfw,"6,4,2,2,2,1,1",0,False,6
7,10,148,24.381905006,FCzR_,"3,3,3,3,3,3,2",46.519237136,F?Bvw,"6,5,2,2,2,2,1",0,False,6
7,11,148,31.149727641,FEjbo,"4,3,3,3,3,3,3",56.137770544,F?B~w,"6,6,2,2,2,2,2",1,False,6
7,12,131,39.435285603,FEyrg,"4,4,4,3,3,3,3",59.545376417,F?b~w,"6,6,3,3,2,2,2",0,False,6
7,13,97,47.388585737,FEzv_,"4,4,4,4,4,3,3",64.872314961,F?r~w,"6,6,4,3,3,2,2",0,False,6
7,14,65,55.175756957,FFzvO,"4,4,4,4,4,4,4",72.380293076,F?z~w,"6,6,5,3,3,3,2",0,True,6
7,15,41,66.603077413,FQ~vo,"5,5,4,4,4,4,4",82.093639901,F?~~w,"6,6,6,3,3,3,3",0,False,6
7,16,21,77.556318403,FU~vo,"5,5,5,5,4,4,4",88.816690139,FTm~w,"6,5,5,5,5,5,1",1,False,6
7,17,10,88.272519659,FVz~o,"5,5,5,5,5,5,4",97.429081829,FTn~w,"6,6,5,5,5,5,2",1,False,6
7,18,5,100.677570066,F]~vw,"6,5,5,5,5,5,5",107.084950973,FF~~w,"6,6,6,6,4,4,4",0,False,6
7,19,2,114.735119173,F]~~w,"6,6,6,5,5,5,5",116.779782747,FV~~w,"6,6,6,6,5,5,4",1,False,6
8,2,2,0.0,G??CA?,"1,1,1,1,0,0,0,0",1.64370883,G???E?,"2,1,1,0,0,0,0,0",1,False,2
8,3,5,0.0,G?AA@?,"1,1,1,1,1,1,0,0",5.557258096,G???F?,"3,1,1,1,0,0,0,0",0,False,3
8,4,11,0.0,G?`@?_,"1,1,1,1,1,1,1,1",11.529935585,G???F_,"4,1,1,1,1,0,0,0",1,True,4
8,5,24,2.828427125,G?`@C_,"2,2,1,1,1,1,1,1",19.51827776,G???Fo,"5,1,1,1,1,1,0,0",1,False,5
8,6,56,4.738873178,G?`@`_,"2,2,2,2,1,1,1,1",29.512290501,G???Fw,"6,1,1,1,1,1,1,0",1,False,6
8,7,115,7.108309767,G?`a`_,"2,2,2,2,2,2,1,1",41.508821826,G???F{,"7,1,1,1,1,1,1,1",1,False,7
8,8,221,9.477746356,G?qa`_,"2,2,2,2,2,2,2,2",42.718615724,G??CF{,"7,2,2,1,1,1,1,1",1,True,7
8,9,402,15.277318492,G?qad_,"3,3,2,2,2,2,2,2",45.715851047,G??EF{,"7,3,2,2,1,1,1,1",1,False,7
8,10,663,20.029019058,GCdbCo,"3,3,3,3,2,2,2,2",50.909341757,G??FF{,"7,4,2,2,2,1,1,1",0,False,7
8,11,980,25.566623301,GCQtbO,"3,3,3,3,3,3,2,2",58.294907773,G??Ff{,"7,5,2,2,2,2,1,1",0,False,7
8,12,1312,30.580291759,G?zTb_,"3,3,3,3,3,3,3,3",67.827080375,G??Fv{,"7,6,2,2,2,2,2,1",1,True,7
8,13,1557,39.198107549,GCqjbc,"4,4,3,3,3,3,3,3",79.467839645,G??F~{,"7,7,2,2,2,2,2,2",1,False,7
8,14,1646,47.151407683,GCzRdg,"4,4,4,4,3,3,3,3",82.71368522,G?AF~{,"7,7,3,3,2,2,2,2",0,False,7
