set,n_graphs,signature,target,target_desc,determined,H_target,I_signature_target,H_target_given_signature
chem_n9,14598,deck:deg_seq,ds,degree sequence of G,True,6.378235,6.378235,0.0
chem_n9,14598,deck:deg_seq,ds_sig,multiset of degree sequences of the cards,True,9.618471,9.618471,0.0
chem_n9,14598,deck:deg_seq,et,multiset of edge degree-types of G,True,9.618471,9.618471,0.0
chem_n9,14598,deck:deg_seq,so,Sombor index SO(G),True,9.613666,9.613666,0.0
chem_n9,14598,deck:deg_seq,dd,multiset {Delta_e},False,13.224774,9.618471,3.606302
chem_n9,14598,deck:deg_seq,taus,number of spanning trees,False,9.675644,5.842303,3.833341
chem_n9,14598,deck:deg_seq,tri,number of triangles,False,2.68594,0.894143,1.791796
chem_n9,14598,deck:deg_seq,wiener,Wiener index,False,5.436299,3.119163,2.317136
chem_n9,14598,deck:deg_seq,n,order n,True,0.793669,0.793669,0.0
chem_n9,14598,deck:deg_seq,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:deg_seq,C,Sombor deletion correction C(G),True,9.618334,9.618334,0.0
chem_n9,14598,deck:edge_types,ds,degree sequence of G,False,6.378235,6.378098,0.000137
chem_n9,14598,deck:edge_types,ds_sig,multiset of degree sequences of the cards,False,9.618471,9.618334,0.000137
chem_n9,14598,deck:edge_types,et,multiset of edge degree-types of G,False,9.618471,9.618334,0.000137
chem_n9,14598,deck:edge_types,so,Sombor index SO(G),False,9.613666,9.613529,0.000137
chem_n9,14598,deck:edge_types,dd,multiset {Delta_e},False,13.224774,13.224637,0.000137
chem_n9,14598,deck:edge_types,taus,number of spanning trees,False,9.675644,9.070086,0.605558
chem_n9,14598,deck:edge_types,tri,number of triangles,False,2.68594,2.234646,0.451294
chem_n9,14598,deck:edge_types,wiener,Wiener index,False,5.436299,5.011871,0.424428
chem_n9,14598,deck:edge_types,n,order n,False,0.793669,0.793532,0.000137
chem_n9,14598,deck:edge_types,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:edge_types,C,Sombor deletion correction C(G),False,9.618334,9.618197,0.000137
chem_n9,14598,deck:n_comp,ds,degree sequence of G,False,6.378235,4.02224,2.355995
chem_n9,14598,deck:n_comp,ds_sig,multiset of degree sequences of the cards,False,9.618471,4.347432,5.27104
chem_n9,14598,deck:n_comp,et,multiset of edge degree-types of G,False,9.618471,4.347432,5.27104
chem_n9,14598,deck:n_comp,so,Sombor index SO(G),False,9.613666,4.342627,5.27104
chem_n9,14598,deck:n_comp,dd,multiset {Delta_e},False,13.224774,4.55369,8.671083
chem_n9,14598,deck:n_comp,taus,number of spanning trees,False,9.675644,3.454002,6.221642
chem_n9,14598,deck:n_comp,tri,number of triangles,False,2.68594,0.463173,2.222767
chem_n9,14598,deck:n_comp,wiener,Wiener index,False,5.436299,1.679015,3.757284
chem_n9,14598,deck:n_comp,n,order n,False,0.793669,0.323257,0.470412
chem_n9,14598,deck:n_comp,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:n_comp,C,Sombor deletion correction C(G),False,9.618334,4.347295,5.27104
chem_n9,14598,deck:comp_sizes,ds,degree sequence of G,False,6.378235,4.93133,1.446905
chem_n9,14598,deck:comp_sizes,ds_sig,multiset of degree sequences of the cards,False,9.618471,5.411144,4.207327
chem_n9,14598,deck:comp_sizes,et,multiset of edge degree-types of G,False,9.618471,5.411144,4.207327
chem_n9,14598,deck:comp_sizes,so,Sombor index SO(G),False,9.613666,5.406339,4.207327
chem_n9,14598,deck:comp_sizes,dd,multiset {Delta_e},False,13.224774,5.636962,7.587812
chem_n9,14598,deck:comp_sizes,taus,number of spanning trees,False,9.675644,3.975069,5.700575
chem_n9,14598,deck:comp_sizes,tri,number of triangles,False,2.68594,0.711733,1.974207
chem_n9,14598,deck:comp_sizes,wiener,Wiener index,False,5.436299,2.546526,2.889772
chem_n9,14598,deck:comp_sizes,n,order n,True,0.793669,0.793669,0.0
chem_n9,14598,deck:comp_sizes,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:comp_sizes,C,Sombor deletion correction C(G),False,9.618334,5.411007,4.207327
chem_n9,14598,deck:tri,ds,degree sequence of G,False,6.378235,3.356845,3.02139
chem_n9,14598,deck:tri,ds_sig,multiset of degree sequences of the cards,False,9.618471,4.081826,5.536646
chem_n9,14598,deck:tri,et,multiset of edge degree-types of G,False,9.618471,4.081826,5.536646
chem_n9,14598,deck:tri,so,Sombor index SO(G),False,9.613666,4.077021,5.536646
chem_n9,14598,deck:tri,dd,multiset {Delta_e},False,13.224774,6.083748,7.141025
chem_n9,14598,deck:tri,taus,number of spanning trees,False,9.675644,4.725168,4.950476
chem_n9,14598,deck:tri,tri,number of triangles,False,2.68594,2.685751,0.000189
chem_n9,14598,deck:tri,wiener,Wiener index,False,5.436299,1.95493,3.481369
chem_n9,14598,deck:tri,n,order n,False,0.793669,0.303243,0.490426
chem_n9,14598,deck:tri,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:tri,C,Sombor deletion correction C(G),False,9.618334,4.081689,5.536646
chem_n9,14598,deck:clique,ds,degree sequence of G,False,6.378235,3.127741,3.250495
chem_n9,14598,deck:clique,ds_sig,multiset of degree sequences of the cards,False,9.618471,3.436458,6.182014
chem_n9,14598,deck:clique,et,multiset of edge degree-types of G,False,9.618471,3.436458,6.182014
chem_n9,14598,deck:clique,so,Sombor index SO(G),False,9.613666,3.431653,6.182014
chem_n9,14598,deck:clique,dd,multiset {Delta_e},False,13.224774,4.43468,8.790094
chem_n9,14598,deck:clique,taus,number of spanning trees,False,9.675644,3.218842,6.456803
chem_n9,14598,deck:clique,tri,number of triangles,False,2.68594,1.52728,1.15866
chem_n9,14598,deck:clique,wiener,Wiener index,False,5.436299,1.533343,3.902956
chem_n9,14598,deck:clique,n,order n,False,0.793669,0.243131,0.550538
chem_n9,14598,deck:clique,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:clique,C,Sombor deletion correction C(G),False,9.618334,3.436321,6.182014
chem_n9,14598,deck:chrom,ds,degree sequence of G,False,6.378235,3.150128,3.228107
chem_n9,14598,deck:chrom,ds_sig,multiset of degree sequences of the cards,False,9.618471,3.485669,6.132802
chem_n9,14598,deck:chrom,et,multiset of edge degree-types of G,False,9.618471,3.485669,6.132802
chem_n9,14598,deck:chrom,so,Sombor index SO(G),False,9.613666,3.480864,6.132802
chem_n9,14598,deck:chrom,dd,multiset {Delta_e},False,13.224774,4.365922,8.858851
chem_n9,14598,deck:chrom,taus,number of spanning trees,False,9.675644,3.181523,6.494121
chem_n9,14598,deck:chrom,tri,number of triangles,False,2.68594,0.958172,1.727768
chem_n9,14598,deck:chrom,wiener,Wiener index,False,5.436299,1.512063,3.924236
chem_n9,14598,deck:chrom,n,order n,False,0.793669,0.262781,0.530888
chem_n9,14598,deck:chrom,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:chrom,C,Sombor deletion correction C(G),False,9.618334,3.485532,6.132802
chem_n9,14598,deck:girth,ds,degree sequence of G,False,6.378235,3.206267,3.171969
chem_n9,14598,deck:girth,ds_sig,multiset of degree sequences of the cards,False,9.618471,3.503925,6.114546
chem_n9,14598,deck:girth,et,multiset of edge degree-types of G,False,9.618471,3.503925,6.114546
chem_n9,14598,deck:girth,so,Sombor index SO(G),False,9.613666,3.49912,6.114546
chem_n9,14598,deck:girth,dd,multiset {Delta_e},False,13.224774,4.440091,8.784683
chem_n9,14598,deck:girth,taus,number of spanning trees,False,9.675644,3.277324,6.39832
chem_n9,14598,deck:girth,tri,number of triangles,False,2.68594,1.356522,1.329417
chem_n9,14598,deck:girth,wiener,Wiener index,False,5.436299,1.592869,3.84343
chem_n9,14598,deck:girth,n,order n,False,0.793669,0.291762,0.501907
