set,n_graphs,signature,target,target_desc,determined,H_target,I_signature_target,H_target_given_signature
chem_m4_n9,14592,deck:deg_seq,ds,degree sequence of G,True,6.374577,6.374577,0.0
chem_m4_n9,14592,deck:deg_seq,ds_sig,multiset of degree sequences of the cards,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:deg_seq,et,multiset of edge degree-types of G,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:deg_seq,so,Sombor index SO(G),True,9.611338,9.611338,0.0
chem_m4_n9,14592,deck:deg_seq,dd,multiset {Delta_e},False,13.22393,9.616145,3.607785
chem_m4_n9,14592,deck:deg_seq,taus,number of spanning trees,False,9.676542,5.841625,3.834917
chem_m4_n9,14592,deck:deg_seq,tri,number of triangles,False,2.685662,0.893129,1.792533
chem_m4_n9,14592,deck:deg_seq,wiener,Wiener index,False,5.43239,3.114302,2.318088
chem_m4_n9,14592,deck:deg_seq,n,order n,True,0.788366,0.788366,0.0
chem_m4_n9,14592,deck:deg_seq,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:deg_seq,C,Sombor deletion correction C(G),True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:edge_types,ds,degree sequence of G,True,6.374577,6.374577,0.0
chem_m4_n9,14592,deck:edge_types,ds_sig,multiset of degree sequences of the cards,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:edge_types,et,multiset of edge degree-types of G,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:edge_types,so,Sombor index SO(G),True,9.611338,9.611338,0.0
chem_m4_n9,14592,deck:edge_types,dd,multiset {Delta_e},True,13.22393,13.22393,0.0
chem_m4_n9,14592,deck:edge_types,taus,number of spanning trees,False,9.676542,9.070871,0.60567
chem_m4_n9,14592,deck:edge_types,tri,number of triangles,False,2.685662,2.234319,0.451342
chem_m4_n9,14592,deck:edge_types,wiener,Wiener index,False,5.43239,5.007925,0.424465
chem_m4_n9,14592,deck:edge_types,n,order n,True,0.788366,0.788366,0.0
chem_m4_n9,14592,deck:edge_types,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:edge_types,C,Sombor deletion correction C(G),True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:n_comp,ds,degree sequence of G,False,6.374577,4.01775,2.356827
chem_m4_n9,14592,deck:n_comp,ds_sig,multiset of degree sequences of the cards,False,9.616145,4.343075,5.27307
chem_m4_n9,14592,deck:n_comp,et,multiset of edge degree-types of G,False,9.616145,4.343075,5.27307
chem_m4_n9,14592,deck:n_comp,so,Sombor index SO(G),False,9.611338,4.338268,5.27307
chem_m4_n9,14592,deck:n_comp,dd,multiset {Delta_e},False,13.22393,4.549419,8.674512
chem_m4_n9,14592,deck:n_comp,taus,number of spanning trees,False,9.676542,3.452341,6.2242
chem_m4_n9,14592,deck:n_comp,tri,number of triangles,False,2.685662,0.461981,2.223681
chem_m4_n9,14592,deck:n_comp,wiener,Wiener index,False,5.43239,1.673698,3.758692
chem_m4_n9,14592,deck:n_comp,n,order n,False,0.788366,0.31776,0.470606
chem_m4_n9,14592,deck:n_comp,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:n_comp,C,Sombor deletion correction C(G),False,9.616145,4.343075,5.27307
chem_m4_n9,14592,deck:comp_sizes,ds,degree sequence of G,False,6.374577,4.927077,1.4475
chem_m4_n9,14592,deck:comp_sizes,ds_sig,multiset of degree sequences of the cards,False,9.616145,5.407088,4.209057
chem_m4_n9,14592,deck:comp_sizes,et,multiset of edge degree-types of G,False,9.616145,5.407088,4.209057
chem_m4_n9,14592,deck:comp_sizes,so,Sombor index SO(G),False,9.611338,5.402281,4.209057
