g6,n,m,W,sum_cards_W,naive_(m-1)W,ratio
BW,3,2,4.0,2.0,4.0,0.5
Bw,3,3,3.0,12.0,6.0,2.0
CE,4,2,4.0,2.0,4.0,0.5
CF,4,3,9.0,12.0,18.0,0.666667
CQ,4,2,2.0,2.0,2.0,1.0
CT,4,3,3.0,12.0,6.0,2.0
CU,4,3,10.0,10.0,20.0,0.5
CV,4,4,8.0,32.0,24.0,1.333333
C],4,4,8.0,40.0,24.0,1.666667
C^,4,5,7.0,40.0,28.0,1.428571
C~,4,6,6.0,42.0,30.0,1.4
D?o,5,2,4.0,2.0,4.0,0.5
D?w,5,3,9.0,12.0,18.0,0.666667
D?{,5,4,16.0,36.0,48.0,0.75
DCO,5,2,2.0,2.0,2.0,1.0
DCW,5,3,5.0,8.0,10.0,0.8
DCc,5,3,3.0,12.0,6.0,2.0
DCo,5,3,10.0,10.0,20.0,0.5
DCs,5,4,8.0,32.0,24.0,1.333333
DCw,5,4,18.0,34.0,54.0,0.62963
DC{,5,5,15.0,68.0,60.0,1.133333
DEg,5,4,20.0,30.0,60.0,0.5
DEk,5,5,16.0,72.0,64.0,1.125
DEo,5,4,8.0,40.0,24.0,1.666667
DEs,5,5,7.0,40.0,28.0,1.428571
DEw,5,5,16.0,84.0,64.0,1.3125
DE{,5,6,14.0,85.0,70.0,1.214286
DFw,5,6,14.0,96.0,70.0,1.371429
DF{,5,7,13.0,98.0,78.0,1.25641
DQg,5,4,4.0,18.0,12.0,1.5
DQw,5,5,17.0,70.0,68.0,1.029412
DQ{,5,6,14.0,98.0,70.0,1.4
DTk,5,6,6.0,42.0,30.0,1.4
DT{,5,7,13.0,93.0,78.0,1.192308
DUW,5,5,15.0,100.0,60.0,1.666667
DUs,5,6,15.0,89.0,75.0,1.186667
DUw,5,6,14.0,97.0,70.0,1.385714
DU{,5,7,13.0,100.0,78.0,1.282051
DVw,5,7,13.0,100.0,78.0,1.282051
DV{,5,8,12.0,104.0,84.0,1.238095
D]{,5,8,12.0,104.0,84.0,1.238095
D^{,5,9,11.0,108.0,88.0,1.227273
D~{,5,10,10.0,110.0,90.0,1.222222
E?B?,6,2,4.0,2.0,4.0,0.5
E?B_,6,3,9.0,12.0,18.0,0.666667
E?Bo,6,4,16.0,36.0,48.0,0.75
E?Bw,6,5,25.0,80.0,100.0,0.8
E?`?,6,2,2.0,2.0,2.0,1.0
E?`_,6,3,5.0,8.0,10.0,0.8
E?`o,6,4,10.0,24.0,30.0,0.8
E?aG,6,3,3.0,12.0,6.0,2.0
E?b?,6,3,10.0,10.0,20.0,0.5
E?bG,6,4,8.0,32.0,24.0,1.333333
E?b_,6,4,18.0,34.0,54.0,0.62963
E?bg,6,5,15.0,68.0,60.0,1.133333
E?bo,6,5,28.0,80.0,112.0,0.714286
E?bw,6,6,24.0,126.0,120.0,1.05
E?oo,6,4,8.0,20.0,24.0,0.833333
E?ow,6,5,29.0,80.0,116.0,0.689655
E?q_,6,4,20.0,30.0,60.0,0.5
E?qg,6,5,16.0,72.0,64.0,1.125
E?qo,6,5,32.0,76.0,128.0,0.59375
E?qw,6,6,26.0,136.0,130.0,1.046154
E?r?,6,4,8.0,40.0,24.0,1.666667
E?rG,6,5,7.0,40.0,28.0,1.428571
E?r_,6,5,16.0,84.0,64.0,1.3125
E?rg,6,6,14.0,85.0,70.0,1.214286
E?ro,6,6,26.0,152.0,130.0,1.169231
E?rw,6,7,23.0,154.0,138.0,1.115942
E?zO,6,6,28.0,160.0,140.0,1.142857
E?zW,6,7,24.0,160.0,144.0,1.111111
E?z_,6,6,14.0,96.0,70.0,1.371429
E?zg,6,7,13.0,98.0,78.0,1.25641
E?zo,6,7,24.0,176.0,144.0,1.222222
E?zw,6,8,22.0,178.0,154.0,1.155844
E?~o,6,8,22.0,192.0,154.0,1.246753
E?~w,6,9,21.0,198.0,168.0,1.178571
ECO_,6,3,3.0,6.0,6.0,1.0
ECQO,6,4,4.0,18.0,12.0,1.5
ECQ_,6,4,11.0,23.0,33.0,0.69697
ECQo,6,5,9.0,44.0,36.0,1.222222
ECRO,6,5,17.0,70.0,68.0,1.029412
ECRW,6,6,14.0,98.0,70.0,1.4
ECR_,6,5,31.0,78.0,124.0,0.629032
ECRo,6,6,27.0,131.0,135.0,0.97037
ECRw,6,7,23.0,170.0,138.0,1.231884
ECX_,6,5,9.0,52.0,36.0,1.444444
ECXg,6,6,8.0,52.0,40.0,1.3
ECZO,6,6,31.0,135.0,155.0,0.870968
ECZW,6,7,25.0,184.0,150.0,1.226667
