index,graphs_checked_m>=2,corrected_identity_failures,naive_identity_failures,max_abs_error_corrected,max_rel_error_naive,edge_type_multisets,C_f_inconsistent_with_edge_types
sombor,25790,0,25781,5.457e-12,0.367544,6662,0
sombor_inv,25790,0,25781,3.553e-14,0.581139,6662,0
sombor_sq,25790,0,25781,0.000e+00,0.600000,6662,0
randic,25790,0,25781,5.684e-14,0.414214,6662,0
abc,25790,0,25688,2.274e-13,1.000000,6662,0
m2,25790,0,25781,0.000e+00,0.500000,6662,0
harmonic,25790,0,25781,5.684e-14,0.500000,6662,0
ga,25790,0,25770,4.547e-13,0.088662,6662,0
sum_conn,25790,0,25781,1.421e-13,0.224745,6662,0
isi,25790,0,25781,1.364e-12,0.333333,6662,0
az,25790,0,25688,1.455e-11,1.370370,6662,0
trivial(m),25790,0,0,0.000e+00,0.000000,6662,0
