set,source,n,classes,resolved,collision_graphs,collision_rate,largest_class,residual_bits,identity_bits
all_n8,deck:itself,13598,13597,False,2,0.00014708045300779526,2,0.00014708045300779526,13.731106854388033
all_n8,deck:n,13598,8,False,13597,0.9999264597734961,12346,13.210067995701488,13.731106854388033
all_n8,deck:m,13598,1705,False,12905,0.9490366230327989,184,4.521136887983544,13.731106854388033
all_n8,deck:deg_seq,13598,11018,False,4362,0.3207824680100015,9,0.442815938054033,13.731106854388033
all_n8,deck:edge_types,13598,13556,False,84,0.006177379026327401,2,0.006177379026327401,13.731106854388033
all_n8,deck:comp_sizes,13598,518,False,13232,0.9730842770995735,7123,10.44552843166687,13.731106854388033
all_n8,deck:n_comp,13598,241,False,13482,0.9914693337255479,7123,10.847700167604321,13.731106854388033
all_n8,deck:max_deg,13598,151,False,13551,0.9965436093543169,1814,8.834755101926266,13.731106854388033
all_n8,deck:min_deg,13598,151,False,13551,0.9965436093543169,1814,8.834755101926266,13.731106854388033
all_n8,deck:n_leaves,13598,542,False,13391,0.9847771731136932,2764,8.609302639149906,13.731106854388033
all_n8,deck:tri,13598,2423,False,12175,0.8953522576849536,614,4.7600945314484475,13.731106854388033
all_n8,deck:clique,13598,78,False,13573,0.9981614943374025,3128,10.00182842002353,13.731106854388033
all_n8,deck:indep,13598,78,False,13573,0.9981614943374025,3128,10.00182842002353,13.731106854388033
all_n8,deck:chrom,13598,95,False,13569,0.997867333431387,3232,9.83047507666715,13.731106854388033
all_n8,deck:girth,13598,136,False,13557,0.9969848507133402,9043,11.255059968317466,13.731106854388033
all_n8,deck:n_bridges,13598,1064,False,13223,0.9724224150610384,2721,7.626380454081536,13.731106854388033
all_n8,deck:n_cut,13598,443,False,13429,0.9875717017208413,2582,8.492654449360378,13.731106854388033
all_n8,deck:bipartite,13598,35,False,13593,0.9996322988674805,9546,11.92975110379967,13.731106854388033
all_n8,deck:forest,13598,37,False,13595,0.9997793793204883,11145,12.469713617902057,13.731106854388033
all_n8,deck:biconnected,13598,33,False,13594,0.9997058390939844,2786,10.562570946378713,13.731106854388033
all_n8,deck:diam,13598,273,False,13522,0.9944109427857037,2025,8.61950321768277,13.731106854388033
all_n8,deck:ecc_seq,13598,4288,False,11091,0.8156346521547286,177,3.0532627405978134,13.731106854388033
all_n8,deck:dist_dist,13598,10636,False,4220,0.310339755846448,37,0.6548269751298209,13.731106854388033
all_n8,deck:max_match,13598,60,False,13579,0.998602735696426,10843,12.187124851956181,13.731106854388033
all_n8,deck:match_poly,13598,13505,False,186,0.013678482129724959,2,0.01367848212972496,13.731106854388033
all_n8,deck:n_perfect_match,13598,371,False,13395,0.9850713340197088,12346,12.62468461515336,13.731106854388033
all_n8,deck:taus,13598,12158,False,1910,0.14046183262244447,376,0.4782443738252878,13.731106854388033
all_n8,deck:sombor,13598,13556,False,84,0.006177379026327401,2,0.006177379026327401,13.731106854388033
all_n8,deck:sombor_inv,13598,13546,False,103,0.007574643329901456,3,0.007703698154299417,13.731106854388033
all_n8,deck:sombor_sq,13598,10998,False,4392,0.3229886748051184,9,0.4465641280018734,13.731106854388033
all_n8,deck:sombor_red,13598,13346,False,483,0.03551992940138256,5,0.03843714446980411,13.731106854388033
all_n8,deck:randic,13598,13546,False,103,0.007574643329901456,3,0.007703698154299417,13.731106854388033
all_n8,deck:abc,13598,13342,False,490,0.03603471098690984,5,0.03908098087972934,13.731106854388033
all_n8,deck:m1,13598,10917,False,4498,0.33078393881453155,9,0.46322550098870996,13.731106854388033
all_n8,deck:m2,13598,13552,False,92,0.006765700838358583,2,0.006765700838358583,13.731106854388033
all_n8,deck:forgotten,13598,10998,False,4392,0.3229886748051184,9,0.4465641280018734,13.731106854388033
all_n8,deck:harmonic,13598,13543,False,109,0.008015884688924842,3,0.008144939513322803,13.731106854388033
all_n8,deck:ga,13598,13556,False,84,0.006177379026327401,2,0.006177379026327401,13.731106854388033
all_n8,deck:sum_conn,13598,13556,False,84,0.006177379026327401,2,0.006177379026327401,13.731106854388033
all_n8,deck:isi,13598,13556,False,84,0.006177379026327401,2,0.006177379026327401,13.731106854388033
all_n8,deck:az,13598,13342,False,490,0.03603471098690984,5,0.03908098087972934,13.731106854388033
all_n8,deck:adj_spec,13598,13597,False,2,0.00014708045300779526,2,0.00014708045300779526,13.731106854388033
all_n8,deck:lap_spec,13598,13597,False,2,0.00014708045300779526,2,0.00014708045300779526,13.731106854388033
all_n8,deck:q_spec,13598,13597,False,2,0.00014708045300779526,2,0.00014708045300779526,13.731106854388033
all_n8,deck:adj_charpoly,13598,13597,False,2,0.00014708045300779526,2,0.00014708045300779526,13.731106854388033
all_n8,deck:lap_charpoly,13598,13597,False,2,0.00014708045300779526,2,0.00014708045300779526,13.731106854388033
all_n8,deck:energy,13598,13589,False,17,0.0012501838505662598,3,0.0013792386749642202,13.731106854388033
all_n8,deck:spectral_radius,13598,13370,False,412,0.030298573319605823,8,0.036886893295995066,13.731106854388033
all_n8,deck:wiener,13598,10133,False,4917,0.36159729371966465,37,0.767339347759046,13.731106854388033
all_n8,graph:n,13598,8,False,13597,0.9999264597734961,12346,13.210067995701488,13.731106854388033
all_n8,graph:m,13598,29,False,13596,0.9998529195469922,1712,9.969599936058005,13.731106854388033
all_n8,graph:deg_seq,13598,1706,False,12903,0.9488895425797912,184,4.520989807530537,13.731106854388033
all_n8,graph:edge_types,13598,5590,False,10890,0.8008530666274453,33,1.7891590238202992,13.731106854388033
all_n8,graph:comp_sizes,13598,66,False,13574,0.9982350345639065,11117,12.517914866374854,13.731106854388033
all_n8,graph:n_comp,13598,8,False,13597,0.9999264597734961,12113,13.135918142852427,13.731106854388033
all_n8,graph:max_deg,13598,8,False,13598,1.0,5281,11.68459038135291,13.731106854388033
all_n8,graph:min_deg,13598,8,False,13597,0.9999264597734961,5283,11.740958466422585,13.731106854388033
all_n8,graph:n_leaves,13598,9,False,13597,0.9999264597734961,8738,12.305310795651295,13.731106854388033
all_n8,graph:tri,13598,45,False,13592,0.9995587586409767,1352,9.522038272687984,13.731106854388033
all_n8,graph:clique,13598,8,False,13597,0.9999264597734961,6700,12.186171066928036,13.731106854388033
all_n8,graph:indep,13598,8,False,13597,0.9999264597734961,6700,12.186171066928036,13.731106854388033
all_n8,graph:chrom,13598,8,False,13597,0.9999264597734961,6404,12.208294038641721,13.731106854388033
all_n8,graph:girth,13598,7,False,13597,0.9999264597734961,13016,13.418703556638345,13.731106854388033
all_n8,graph:n_bridges,13598,8,False,13598,1.0,8686,12.222571924502832,13.731106854388033
all_n8,graph:n_cut,13598,7,False,13597,0.9999264597734961,8432,12.301830759196873,13.731106854388033
all_n8,graph:bipartite,13598,2,False,13598,1.0,13146,13.520717274057759,13.731106854388033
all_n8,graph:forest,13598,2,False,13598,1.0,13443,13.641177404392936,13.731106854388033
all_n8,graph:biconnected,13598,2,False,13598,1.0,7661,12.742733071761968,13.731106854388033
all_n8,graph:diam,13598,8,False,13597,0.9999264597734961,6802,12.266174823328718,13.731106854388033
