d_u,d_v,n_edges,n_distinct_delta,delta_min,delta_max,delta_mean,n_distinct_types_sharing_a_delta
1,1,1316,1,1.414213562,1.414213562,1.414213562,0
1,2,6241,7,2.445110055,3.057922393,2.642269534,0
1,3,15761,27,3.833604093,5.014697026,4.296770522,1
1,4,24125,75,5.462559553,7.005589522,6.165715098,0
1,5,23915,166,7.259289589,9.002675065,8.138376518,0
1,6,15371,306,9.168858482,11.001477614,10.161025881,0
1,7,6002,476,11.150770688,13.000899501,12.205809275,0
1,8,1253,342,13.176813881,15.000587303,14.261891198,0
2,2,22651,28,3.196334131,4.472135955,3.579316117,1
2,3,97485,175,4.422960489,6.279825056,5.064838260,0
2,4,154272,469,5.949326907,8.176474266,6.814557646,1
2,5,153382,1001,7.679030088,10.110674774,8.704622405,0
2,6,96642,1768,9.543404452,12.065124819,10.667218113,0
2,7,35920,2173,11.493961602,14.031795994,12.665634797,0
2,8,6468,1172,13.497632697,15.751811379,14.685827815,1
3,3,148212,201,5.433810663,7.947479418,6.349722911,1
3,4,436368,1559,6.842605960,9.734903262,7.972614671,0
3,5,436101,3131,8.486090365,11.587026812,9.755375702,0
3,6,272671,4726,10.287484227,13.479338381,11.634304745,0
3,7,99015,4709,12.191451637,15.216187916,13.564914399,0
3,8,17160,2204,14.159968487,16.986404453,15.530701181,0
4,4,376504,773,8.058463238,11.421822042,9.443265333,0
4,5,713873,6204,9.613123916,13.189263686,11.126697705,0
4,6,445596,7904,11.344402029,14.873705741,12.914248745,0
4,7,160530,6842,13.193351119,16.620585337,14.769679724,1
4,8,27356,2908,15.118367967,18.407089780,16.669671074,0
5,5,380913,1932,10.988741588,14.752608844,12.691280797,0
5,6,451196,9402,12.650381226,16.418145233,14.400841600,0
5,7,163136,7377,14.441646365,18.148905263,16.180872836,0
5,8,27891,2908,16.319021394,19.924071798,18.011214734,0
6,6,155729,3009,14.145470054,18.056596520,16.009454058,0
6,7,104700,6089,15.880318340,19.759678366,17.727438615,0
6,8,18330,2204,17.709209523,21.509839249,19.485758125,0
7,7,24340,2130,17.461244689,21.431651189,19.352785475,0
7,8,7236,1172,19.243047683,23.151271335,21.053701955,0
8,8,1549,342,20.883586106,24.839127566,22.652671716,0
