n,m,graphs,spearman_C_vs_log_taus,spearman_C_vs_wiener,spearman_C_vs_kirchhoff,spearman_C_vs_degree_variance,spearman_C_vs_n_leaves
6,4,9,,0.23732222626728364,,0.9363821838346236,-0.11066334899863732
6,5,15,0.17338859721735161,0.10852057217596059,,0.954848247678491,0.27113913545373863
6,6,21,-0.34584127693065775,-0.3537814448409971,-0.07438044752782767,0.9674109721925432,0.2858222287913467
6,7,24,-0.564994860684311,-0.466465094172056,0.23824233363753494,0.9283597277790041,0.41190504675420586
6,8,24,-0.7122961169167946,-0.3270530898705687,0.5083409093900062,0.9723288709107842,0.5012402917417549
6,9,21,-0.8334973590182297,-0.10728734417799457,0.7105762903501753,0.9779837697028443,0.38811641634309063
6,10,15,-0.92128801431127,-0.09215422970396146,0.8448849997066709,0.9620338780510435,0.36346118351914974
6,11,9,-0.9166666666666666,,0.8833333333333333,0.978945010372561,0.5477225575051661
7,4,10,,0.41107388982369863,,0.9507803261066831,-0.3569653238400649
7,5,21,,0.29050122186783256,,0.931061860110015,0.023112961731555755
7,6,41,0.0907538375709434,0.06357730118303079,-0.9090909090909091,0.9446120197210943,0.1880635531089413
7,7,65,-0.2429355315422898,-0.2852532425648735,-0.26459771680886374,0.9649903010271063,0.31276285566866147
7,8,97,-0.4717252247717819,-0.4596249539208759,0.048260722117547596,0.9617489032840247,0.41328698745216474
7,9,131,-0.6011208509219302,-0.3724175364657249,0.3743676782704697,0.9658041902636176,0.4535009550781582
7,10,148,-0.7149684107784727,-0.2974662062944854,0.4892221654751492,0.9757914058054997,0.4395404585058138
7,11,148,-0.7770976111101661,-0.14518184782460977,0.6256388192829558,0.9809004560228204,0.4335756800143013
7,12,131,-0.8429811370498843,0.015459931741447006,0.7432985506174372,0.9829856609747992,0.4398693403620664
7,13,97,-0.8771820783762421,0.07657830857172669,0.7872931126655919,0.9814796018608822,0.40427996321773946
7,14,65,-0.9024211632868974,0.13206087848272574,0.8426801800253734,0.9844082068392622,0.3262637577855786
7,15,41,-0.9226880537096906,0.01138739836367048,0.8750880299393332,0.9825900606219115,0.28718470767857524
7,16,21,-0.9295226212879316,,0.9269243749670709,0.9954412006169124,0.3693944256690937
7,17,10,-0.9393939393939393,,0.9393939393939393,0.9483326481409007,
8,4,11,,0.5425645780486095,,0.9632256943820368,-0.5195745535550244
8,5,24,,0.40492314547701047,,0.9560678284196492,-0.2301586636426693
8,6,56,,0.1642148861992897,,0.9564276352255259,-0.010178392198975608
8,7,115,0.046827514884725,0.027699149742583813,-0.9090460823913695,0.9634001906445125,0.1564136509375179
8,8,221,-0.18845973900006327,-0.22183575145257675,-0.39060686181746784,0.966562729612024,0.27330714222852176
8,9,402,-0.39432209606144225,-0.4121645706357676,-0.08572440268190043,0.9686668894667458,0.3671023955878509
8,10,663,-0.5430788185429085,-0.4426998860700361,0.20259991901312718,0.9735867055432557,0.431061902932167
8,11,980,-0.650739790586401,-0.3788336313092403,0.3816733861454679,0.9770276236928249,0.46168673969042107
8,12,1312,-0.7230805708130326,-0.25351249859168296,0.5117853291532201,0.9805621751022797,0.4638796029903382
8,13,1557,-0.7751747006555539,-0.1196882087131532,0.6075521754821669,0.9836715227242081,0.46210557678932734
8,14,1646,-0.8183437975686751,-0.004388836746026762,0.690324973731148,0.9862243492437258,0.4522256994125953
8,15,1557,-0.8501341612638955,0.07048186440137112,0.7488045241152482,0.987191423571418,0.41864253803823687
8,16,1312,-0.8736046215166294,0.13331295717044758,0.7883034441260685,0.9874269567520038,0.3802938262603457
8,17,980,-0.8948063189902994,0.18027822613539585,0.8236363395579438,0.9888886303297822,0.3422554486559133
8,18,663,-0.9143202378706765,0.19758685371956466,0.8574961539132776,0.9906685516374779,0.30041273250336425
8,19,402,-0.9288518551647936,0.19462297423633088,0.8870499460617839,0.9913648673466107,0.2669376634260064
8,20,221,-0.9395035747137913,0.1687001946060437,0.9099398698917537,0.9907957090564761,0.22752757773053497
8,21,115,-0.9458702300995977,0.09211508466240012,0.9192499206639231,0.9902239794550677,0.20841646247168485
8,22,56,-0.9474385941383546,,0.9265241354550775,0.9884995841543633,0.22945494688407278
8,23,24,-0.9536856063674755,,0.9419439231153452,0.988626051752854,
8,24,11,-0.9545454545454546,,0.9545454545454546,0.9862693712811287,
9,8,35,,-0.7519533419213414,-0.7498074186972108,0.9725272414740876,0.9166028695862429
9,9,185,-0.2570063416152423,-0.6200143481733876,-0.3219396724218325,0.9795244428963192,0.8851138563383891
9,10,573,-0.39881707013068485,-0.39496926521756337,-0.06890863537782894,0.9795496609982368,0.8453000706335351
9,11,1278,-0.5100652633234259,-0.18535929022206987,0.15663671034000837,0.9794434941068471,0.8175796152077794
9,12,2161,-0.5954502390918321,0.0038810556291159638,0.34538116315889994,0.9777861469897319,0.7920443729866837
9,13,2768,-0.6687487735341288,0.16152798802892349,0.4961635187658402,0.9760138850228902,0.7638558111659521
9,14,2616,-0.7097933777762827,0.2656331478177764,0.585954403745522,0.9715174743939418,0.7328136541546811
9,15,1714,-0.7002916718873297,0.30364165563865336,0.6013914243245456,0.9587401552174424,0.6590682998067371
9,16,707,-0.599973398968891,0.2738447684281381,0.5154686277925454,0.9212059076086343,0.4220713851952945
9,17,154,-0.3135946030278717,0.13302855149655315,0.27887249584837726,0.7436620320443434,
9,18,16,,,,,
